student_id,Full_Name,Date_of_Birth,Grade_Level,Unnamed: 4,email_id,Attendance_Score,Homework_Score,Exam_Score
S00001,Donna Williams,10-02-2007,Grade 3,,gnoob4626@gmail.com,0.4166666666666667,,74.96424262367006
S00002,John Stafford,26-11-2014,Grade 5,,sudharaju434@gmail.com,0.6666666666666666,,98.0
S00002,John Stafford,26-11-2014,Grade 5,,sudharaju434@gmail.com,0.6666666666666666,,69.0
S00003,Chad Harper,07-02-2017,Grade 3,,sudharaju434@gmail.com,0.25,,63.0
S00004,Anthony Martin,11-10-2014,Grade 5,,sudharaju434@gmail.com,0.25,,59.0
S00004,Anthony Martin,11-10-2014,Grade 5,,sudharaju434@gmail.com,0.25,,106.0
S00005,Mary Stone,04-01-2016,Grade 3,,sudharaju434@gmail.com,0.8333333333333334,,75.0
S00005,Mary Stone,04-01-2016,Grade 3,,sudharaju434@gmail.com,0.8333333333333334,,78.0
S00005,Mary Stone,04-01-2016,Grade 3,,sudharaju434@gmail.com,0.8333333333333334,,78.0
S00005,Mary Stone,04-01-2016,Grade 3,,sudharaju434@gmail.com,0.8333333333333334,,46.0
S00005,Mary Stone,04-01-2016,Grade 3,,sudharaju434@gmail.com,0.8333333333333334,,71.0
S00005,Mary Stone,04-01-2016,Grade 3,,sudharaju434@gmail.com,0.8333333333333334,,75.0
S00006,Joe Wells,29-06-2017,Grade 2,,sudharaju434@gmail.com,0.5,,79.0
S00006,Joe Wells,29-06-2017,Grade 2,,sudharaju434@gmail.com,0.5,,50.0
S00007,Margaret Nixon,04-12-2009,Grade 4,,sudharaju434@gmail.com,0.7142857142857143,,99.0
S00007,Margaret Nixon,04-12-2009,Grade 4,,sudharaju434@gmail.com,0.7142857142857143,,51.0
S00007,Margaret Nixon,04-12-2009,Grade 4,,sudharaju434@gmail.com,0.7142857142857143,,81.0
S00007,Margaret Nixon,04-12-2009,Grade 4,,sudharaju434@gmail.com,0.7142857142857143,,66.0
S00008,James Wheeler,25-01-2011,Grade 1,,sudharaju434@gmail.com,0.4,,103.0
S00008,James Wheeler,25-01-2011,Grade 1,,sudharaju434@gmail.com,0.4,,90.0
S00009,Benjamin Cook,04-10-2007,Grade 4,,sudharaju434@gmail.com,0.5,,89.0
S00009,Benjamin Cook,04-10-2007,Grade 4,,sudharaju434@gmail.com,0.5,,109.0
S00010,Aaron Callahan,18-02-2012,Grade 4,,sudharaju434@gmail.com,0.5,,44.0
S00010,Aaron Callahan,18-02-2012,Grade 4,,sudharaju434@gmail.com,0.5,,109.0
S00010,Aaron Callahan,18-02-2012,Grade 4,,sudharaju434@gmail.com,0.5,,81.0
S00010,Aaron Callahan,18-02-2012,Grade 4,,sudharaju434@gmail.com,0.5,,101.0
S00010,Aaron Callahan,18-02-2012,Grade 4,,sudharaju434@gmail.com,0.5,,110.0
S00010,Aaron Callahan,18-02-2012,Grade 4,,sudharaju434@gmail.com,0.5,,53.0
S00011,christopher church,23-02-2008,Grade 1,,sudharaju434@gmail.com,0.5,,70.0
S00011,christopher church,23-02-2008,Grade 1,,sudharaju434@gmail.com,0.5,,86.0
S00011,christopher church,23-02-2008,Grade 1,,sudharaju434@gmail.com,0.5,,48.0
S00011,christopher church,23-02-2008,Grade 1,,sudharaju434@gmail.com,0.5,,63.0
S00011,christopher church,23-02-2008,Grade 1,,sudharaju434@gmail.com,0.5,,71.0
S00012,Jonathan Solis,07-07-2016,Grade 1,,sudharaju434@gmail.com,0.6,,66.0
S00012,Jonathan Solis,07-07-2016,Grade 1,,sudharaju434@gmail.com,0.6,,43.0
S00012,Jonathan Solis,07-07-2016,Grade 1,,sudharaju434@gmail.com,0.6,,71.0
S00012,Jonathan Solis,07-07-2016,Grade 1,,sudharaju434@gmail.com,0.6,,92.0
S00013,Robert Sanders,30-04-2008,Grade 2,,sudharaju434@gmail.com,0.5,,62.0
S00013,Robert Sanders,30-04-2008,Grade 2,,sudharaju434@gmail.com,0.5,,67.0
S00014,Melanie Gilmore,19-08-2006,Grade 4,,sudharaju434@gmail.com,0.7142857142857143,,104.0
S00014,Melanie Gilmore,19-08-2006,Grade 4,,sudharaju434@gmail.com,0.7142857142857143,,59.0
S00014,Melanie Gilmore,19-08-2006,Grade 4,,sudharaju434@gmail.com,0.7142857142857143,,78.0
S00014,Melanie Gilmore,19-08-2006,Grade 4,,sudharaju434@gmail.com,0.7142857142857143,,95.0
S00014,Melanie Gilmore,19-08-2006,Grade 4,,sudharaju434@gmail.com,0.7142857142857143,,53.0
S00015,Alexandria Wallace,21-06-2006,Grade 2,,sudharaju434@gmail.com,0.5,,93.0
S00016,Ann Wilkerson,02-09-2007,Grade 3,,sudharaju434@gmail.com,0.875,,60.0
S00017,Kelly Delgado,28-06-2015,Grade 2,,sudharaju434@gmail.com,0.625,,48.0
S00017,Kelly Delgado,28-06-2015,Grade 2,,sudharaju434@gmail.com,0.625,,89.0
S00018,Michael Baker,21-07-2008,Grade 1,,sudharaju434@gmail.com,0.625,,53.0
S00018,Michael Baker,21-07-2008,Grade 1,,sudharaju434@gmail.com,0.625,,42.0
S00019,Jennifer Adams,03-01-2015,Grade 4,,sudharaju434@gmail.com,0.5,,42.0
S00019,Jennifer Adams,03-01-2015,Grade 4,,sudharaju434@gmail.com,0.5,,83.0
S00019,Jennifer Adams,03-01-2015,Grade 4,,sudharaju434@gmail.com,0.5,,54.0
S00019,Jennifer Adams,03-01-2015,Grade 4,,sudharaju434@gmail.com,0.5,,44.0
S00019,Jennifer Adams,03-01-2015,Grade 4,,sudharaju434@gmail.com,0.5,,62.0
S00020,Elizabeth Lopez,21-04-2016,Grade 3,,sudharaju434@gmail.com,0.375,,57.0
S00020,Elizabeth Lopez,21-04-2016,Grade 3,,sudharaju434@gmail.com,0.375,,74.0
S00020,Elizabeth Lopez,21-04-2016,Grade 3,,sudharaju434@gmail.com,0.375,,85.0
S00020,Elizabeth Lopez,21-04-2016,Grade 3,,sudharaju434@gmail.com,0.375,,75.0
S00021,Patricia Atkins,07-01-2019,Grade 5,,sudharaju434@gmail.com,0.6666666666666666,,74.0
