Student_ID,Full_Name,Date_of_Birth,Grade_Level,,email_id
S00001,Donna Williams,10-02-2007,Grade 3,,sudharaju434@gmail.com
S00002,John Stafford,26-11-2014,Grade 5,,sudharaju434@gmail.com
S00003,Chad Harper,07-02-2017,Grade 3,,sudharaju434@gmail.com
S00004,Anthony Martin,11-10-2014,Grade 5,,sudharaju434@gmail.com
S00005,Mary Stone,04-01-2016,Grade 3,,sudharaju434@gmail.com
S00006,Joe Wells,29-06-2017,Grade 2,,sudharaju434@gmail.com
S00007,Margaret Nixon,04-12-2009,Grade 4,,sudharaju434@gmail.com
S00008,James Wheeler,25-01-2011,Grade 1,,sudharaju434@gmail.com
S00009,Benjamin Cook,04-10-2007,Grade 4,,sudharaju434@gmail.com
S00010,Aaron Callahan,18-02-2012,Grade 4,,sudharaju434@gmail.com
S00011,christopher church,23-02-2008,Grade 1,,sudharaju434@gmail.com
S00012,Jonathan Solis,07-07-2016,Grade 1,,sudharaju434@gmail.com
S00013,Robert Sanders,30-04-2008,Grade 2,,sudharaju434@gmail.com
S00014,Melanie Gilmore,19-08-2006,Grade 4,,sudharaju434@gmail.com
S00015,Alexandria Wallace,21-06-2006,Grade 2,,sudharaju434@gmail.com
S00016,Ann Wilkerson,02-09-2007,Grade 3,,sudharaju434@gmail.com
S00017,Kelly Delgado,28-06-2015,Grade 2,,sudharaju434@gmail.com
S00018,Michael Baker,21-07-2008,Grade 1,,sudharaju434@gmail.com
S00019,Jennifer Adams,03-01-2015,Grade 4,,sudharaju434@gmail.com
S00020,Elizabeth Lopez,21-04-2016,Grade 3,,sudharaju434@gmail.com
S00021,Patricia Atkins,07-01-2019,Grade 5,,sudharaju434@gmail.com
S00022,Justin Wright,25-06-2010,Grade 2,,sudharaju434@gmail.com
S00023,Justin Sandoval,05-22-2016,Grade 1,,sudharaju434@gmail.com
S00024,Kimberly Massey,05-05-2008,Grade 3,,sudharaju434@gmail.com
S00025,Theresa Marsh,18-04-2009,Grade 2,,sudharaju434@gmail.com
S00026,Todd Noble,03-05-2006,Grade 3,,sudharaju434@gmail.com
S00027,Jonathan Cline,13-03-2009,Grade 3,,sudharaju434@gmail.com
S00028,Diana Fitzpatrick,12-09-2008,Grade 5,,sudharaju434@gmail.com
S00029,brandi winters,14-01-2007,Grade 3,,sudharaju434@gmail.com
S00030,Vincent Harrison,26-01-2013,Grade 3,,sudharaju434@gmail.com
S00031,Michael May,13-01-2009,Grade 4,,sudharaju434@gmail.com
S00032,Katherine Chang,03-09-2010,Grade 4,,sudharaju434@gmail.com
S00033,Kenneth Levine,15-01-2019,Grade 1,,sudharaju434@gmail.com
S00034,Melissa Cohen,20-08-2016,Grade 1,,sudharaju434@gmail.com
S00035,Pamela Lambert,06-11-2010,Grade 2,,sudharaju434@gmail.com
S00036,James Stewart,03-10-2010,Grade 3,,sudharaju434@gmail.com
S00037,Rebecca Barr,24-04-2007,Grade 1,,sudharaju434@gmail.com
S00038,Brandi Carroll,04-09-2018,Grade 1,,sudharaju434@gmail.com
